PLC_Tag,Address,RegisterType,DataType,FunctionCode,AccessType,Description,Unit,SignalType,DCS_Tag,DCS_Functions
2711-PM-1303C_PERMIT.MCU,1,1,BOOL,2,Read,MCU.2711-PM-1303C - SM Circulating Pump_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2711-PM-1303C_FAULT.MCU,2,1,BOOL,2,Read,MCU.2711-PM-1303C - SM Circulating Pump_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2711-PM-1303C_STA.MCU,3,1,BOOL,2,Read,MCU.2711-PM-1303C - SM Circulating Pump_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2711-PM-1303C_EM_STOP.MCU,4,1,BOOL,2,Read,MCU.2711-PM-1303C - SM Circulating Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2711-PM-1303C_SWITCH_ON.MCU,5,1,BOOL,2,Read,MCU.2711-PM-1303C - SM Circulating Pump_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2711-PM-1303C_MCCB POSITION.MCU,6,1,BOOL,2,Read,MCU.2711-PM-1303C - SM Circulating Pump_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2711-PM-1303C_REDAY.MCU,7,1,BOOL,2,Read,MCU.2711-PM-1303C - SM Circulating Pump_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2711-PM-1303E_TX.MCU,8,1,BOOL,2,Read,MCU.2711-PM-1303E - SM Circulating Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2711-PM-1303E_PERMIT.MCU,9,1,BOOL,2,Read,MCU.2711-PM-1303E - SM Circulating Pump_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2711-PM-1303E_FAULT.MCU,10,1,BOOL,2,Read,MCU.2711-PM-1303E - SM Circulating Pump_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2711-PM-1303E_STA.MCU,11,1,BOOL,2,Read,MCU.2711-PM-1303E - SM Circulating Pump_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2711-PM-1303E_EM_STOP.MCU,12,1,BOOL,2,Read,MCU.2711-PM-1303E - SM Circulating Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2711-PM-1303E_SWITCH_ON.MCU,13,1,BOOL,2,Read,MCU.2711-PM-1303E - SM Circulating Pump_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2711-PM-1303E_MCCB POSITION.MCU,14,1,BOOL,2,Read,MCU.2711-PM-1303E - SM Circulating Pump_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2711-PM-1303E_REDAY.MCU,15,1,BOOL,2,Read,MCU.2711-PM-1303E - SM Circulating Pump_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2711-PM-1308_TX.MCU,16,1,BOOL,2,Read,MCU.2711-PM-1308 - SM Loading Pump (Truck)_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2711-PM-1308_PERMIT.MCU,17,1,BOOL,2,Read,MCU.2711-PM-1308 - SM Loading Pump (Truck)_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2711-PM-1308_FAULT.MCU,18,1,BOOL,2,Read,MCU.2711-PM-1308 - SM Loading Pump (Truck)_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2711-PM-1308_STA.MCU,19,1,BOOL,2,Read,MCU.2711-PM-1308 - SM Loading Pump (Truck)_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2711-PM-1308_EM_STOP.MCU,20,1,BOOL,2,Read,MCU.2711-PM-1308 - SM Loading Pump (Truck)_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2711-PM-1308_SWITCH_ON.MCU,21,1,BOOL,2,Read,MCU.2711-PM-1308 - SM Loading Pump (Truck)_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2711-PM-1308_MCCB POSITION.MCU,22,1,BOOL,2,Read,MCU.2711-PM-1308 - SM Loading Pump (Truck)_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2711-PM-1308_REDAY.MCU,23,1,BOOL,2,Read,MCU.2711-PM-1308 - SM Loading Pump (Truck)_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2204-NK-SG-001-A.15OC_4_TX.MCU,24,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.15OC_4 - Spare_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
